code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
CH-FDJP-109458452,Centre de Genève pour la gouvernance du secteur de la sécurité (DCAF),active,60,Switzerland,Foundation,dcaf
US-EIN-943287156,Association pour le progrès des communications,active,21,United States,International NGO,apc
KE-RCO-201036685,UHAI EASHRI,active,60,Kenya,Foundation,uhai-eashri
CZ-ICO-25755277,People in Need,active,21,Czechia,International NGO,pin
ZA-NPO-060766,,active,21,South Africa,International NGO,cal_2000-pu
BE-BCE_KBO-0427736148,Trias,active,22,Belgium,National NGO,trias
IE-CHY-20009601,Trocaire,active,21,Ireland,International NGO,trocaire
GB-CHC-1171353,Fonds mondial pour l’innovation,active,21,United Kingdom,International NGO,gif
GB-COH-04161656,ICF Consulting Services Ltd,active,70,United Kingdom,Private Sector,icf
BJ-IFU-6201408024805,Association nationale des communes du Bénin (ANCB),active,22,Benin,National NGO,ancb_benin
US-EIN-13-2890727,Institut Guttmacher,active,21,United States,International NGO,guttmacher
XM-DAC-41301,Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO),active,40,Italy,Multilateral,fao
CH-FDJP-106064950,Medair,active,21,Switzerland,International NGO,medair
NL-KVK-27302841,Giro555 (fondation Samenwerkende Hulporganisaties),active,21,Netherlands,International NGO,giro555
GB-COH-RC000053,,active,80,United Kingdom,"Academic, Training and Research",thebritishacademy
XM-DAC-928,Organisation mondiale de la Santé (OMS),active,40,Switzerland,Multilateral,who
GB-CHC-1154230,Filles pas épouses : le partenariat mondial pour la fin du mariage des enfants,active,21,United Kingdom,International NGO,girlsnotbrides
NL-KVK-41152832,"Institut Néerlandais de Relations Internationales, l’institut « Clingendael »",active,80,Netherlands,"Academic, Training and Research",clingendael
IN-MCA-U74900MH2015PTC310042,,withdrawn,70,India,Private Sector,intellecap
NL-KVK-41160229,PUM Pays-Bas,active,21,Netherlands,International NGO,pumnl
NL-KVK-41153698,World Federalist Movement – Institute for Global Policy,active,21,Netherlands,International NGO,wfm-igp
GB-CHC-1091105,Fondation pour la recherche sur la méningite,active,21,United Kingdom,International NGO,mrf
PH-SEC-FN200806591,Réseau mondial des femmes pour les droits sur la reproduction,active,21,Philippines,International NGO,wgnrr_iati
US-EIN-27-3755556,IDEO.org,active,21,United States,International NGO,ideo_org
ET-CSA-0081,,active,22,Ethiopia,National NGO,swda
CH-FDJP-66004229946,Forum économique mondial Genève,active,21,Switzerland,International NGO,weforum_geneva
BE-BCE_KBO-0410644946,Caritas International (Belgique),active,22,Belgium,National NGO,cibe
CH-FDJP-CHE105834763,Helvetas Swiss Intercooperation,active,21,Switzerland,International NGO,hsi
NL-KVK-30195730,MVO Nederland,active,15,Netherlands,Other Public Sector,mvo_nederland
ML-NIF-400100027H,DNH Mali (Direction Nationale de l’Hydraulique du Mali),active,10,Mali,Government,pca-gire
US-EIN-13-1624114,Near East Foundation (NEF USA),active,21,United States,International NGO,nef_usa
US-EIN-58-1454716,Centre Carter,active,21,United States,International NGO,carter-center
NL-KVK-41169161,International Child Development Initiatives,withdrawn,21,Netherlands,International NGO,icdi
NL-KVK-27290536,HiiL innovating Justice,active,60,Netherlands,Foundation,hiil_mfa
PS-MOI-RA-22220-A,Union des comités de travail agricole,active,22,"Palestine, State of",National NGO,uawc
NL-KVK-53815211,Fondation VU Amsterdam - Centre pour les études alimentaires mondiales d’Amsterdam,active,80,Netherlands,"Academic, Training and Research",acwfs_vu
ET-MOT-020/4/007,"Ethiopian Horticulture Producer Exporters Association (Association éthiopienne des producteurs et exportateurs horticoles, EHPEA)",active,22,Ethiopia,National NGO,ehpea
NL-KVK-41197411,Bureau international de documentation fiscale,active,80,Netherlands,"Academic, Training and Research",ibfd
NL-KVK-67143555,United Work,active,22,Netherlands,National NGO,united_work
NL-KVK-27102631,Comité national des Pays-Bas pour l’UNICEF,active,22,Netherlands,National NGO,unicefnl
XM-DAC-6-4,"Agenzia Italiana per la Cooperazione allo Sviluppo (Agence italienne pour la coopération au développement, AICS)",active,10,Italy,Government,aics
US-EIN-26-4129153,Climate Policy Initiative,active,80,United States,"Academic, Training and Research",cpi
LR-MPEA-NGO-AC-0298,YMCA du Libéria,active,22,Liberia,National NGO,libymca
KE-RCO-CPR-2009-5689,,active,23,Kenya,Regional NGO,tma
KE-RCO-CPR/2009/5689,TradeMark East Africa,withdrawn,23,Kenya,Regional NGO,tmea
TR-MOI-27-018-163,Local Development and Small Projects Support,active,22,Turkey,National NGO,ldsps
BE-BCE_KBO-0418766123,Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),active,80,Belgium,"Academic, Training and Research",vlir-uos
ET-CSA-0009,,active,22,Ethiopia,National NGO,dec_ethiopia
AR-CENOC-16969-A,Fundación Fondo Mujeres del Sur,active,60,Argentina,Foundation,fms
US-EIN-58-2368165,Fondation pour les Nations Unies,active,22,United States,National NGO,unf
XM-DAC-47058,Institut international pour la démocratie et l’assistance électorale,active,40,Sweden,Multilateral,idea
NL-KVK-41146484,IHE Delft Institut pour l’éducation relative à l’eau,active,80,Netherlands,"Academic, Training and Research",ihedelft
US-EIN-13-2626135,TechnoServe,active,21,United States,International NGO,tns
MZ-NUIT-700098168,Administração de Infra-Estruturas de Águas e Saneamento,active,10,Mozambique,Government,aias
XM-DAC-46009,Banque de développement des Caraïbes (CDB),active,40,(No country assigned),Multilateral,caribank
US-EIN-463668128,Women’s Refugee Commission,active,21,United States,International NGO,w_r_c
MZ-NUIT-50039061,Agência de Desenvolvimento do Vale do Zambeze,active,10,Mozambique,Government,agencia_do_zambeze
US-EIN-56-2460366,Conflict Dynamics International,active,21,United States,International NGO,cdi
GB-COH-RC000658,Université de Leeds,active,80,United Kingdom,"Academic, Training and Research",leedsuni
MW-MRA-20125995,Mulanje Mission Hospital,active,22,Malawi,National NGO,mmh
NL-KVK-73728489,,active,21,United Kingdom,International NGO,inso
GB-CHC-1140276,International NGO Safety Orgnisation,withdrawn,21,United Kingdom,International NGO,inso
XM-DAC-41116,Programme des Nations Unies pour l’environnement (PNUE),active,40,(No country assigned),Multilateral,un-environment
MW-RG-2977,Palliative Care Support Trust,active,22,Malawi,National NGO,pcst
GB-CHC-802353,Ethiopiaid Royaume-Uni,active,21,United Kingdom,International NGO,ethiopiaiduk
NL-KVK-70292361,Fondation Access to Seeds,active,21,Netherlands,International NGO,atsf
BE-BCE_KBO-0408643875,Oxfam Solidarité-Solidariteit,active,22,Belgium,National NGO,oxsol
US-EIN-33-1112770,CLASP,active,21,United States,International NGO,clasp
NL-KVK-58279199,The Access to Nutrition Foundation,active,21,Netherlands,International NGO,atnf
GB-CHC-1106349,International Network for Advancing Science and Policy,active,21,United Kingdom,International NGO,inasp
BD-NAB-1102,Population Services and Training Centre (PSTC),active,22,Bangladesh,National NGO,pstc_1102
JO-CCD-200138796,Horizons for Green Development,active,22,Jordan,National NGO,horizons
GB-CHC-1082565,Handicap international Royaume-Uni,active,80,United Kingdom,"Academic, Training and Research",hiuk
ET-CSA-0638,Send a Cow Éthiopie,active,22,Ethiopia,National NGO,sacethiopia
RS-APR-17062603,Caritas Serbie,active,22,(No country assigned),National NGO,caritas_serbia
NL-KVK-41185216,Commission néerlandaise pour l’évaluation environnementale,active,60,Netherlands,Foundation,ncea
US-EIN-23-7069110,Oxfam Amérique,active,21,United States,International NGO,oxfamus
KE-NCB-218/051/15179/10159,Kesho Kenya,active,22,Kenya,National NGO,kesho_kenya
KE-NCB-OP21805193101154,Ananda Marga Universal Relief Team (AMURT) Africa,active,22,Kenya,National NGO,amurt_kenya
KE-NCB-KENCBOP218051200802235390,Pastoralist Girls Initiative,active,22,Kenya,National NGO,pgi_kenya
LB-MOI-26_AD,Fondation Berytech,active,60,Lebanon,Foundation,berytech
NL-KVK-64680029,,active,60,Netherlands,Foundation,wfaf
NL-KVK-41150085,Nuffic,active,80,Netherlands,"Academic, Training and Research",nuffic20171017
BJ-IFU-6201200599008,ONG ALCRER,active,22,Benin,National NGO,alcrer-1
SE-ON-802017-3517,Diakonia Suède,active,21,Sweden,International NGO,diakonia-sweden
BJ-IFU-6201101048400,Social Watch Bénin,active,22,Benin,National NGO,swb_1
GB-GOV-13,"Royaume-Uni – Ministère des Affaires, de l’Énergie et de la Stratégie industrielle",active,10,United Kingdom,Government,beis
US-EIN-13-1687001,"The Population Council, Inc.",active,80,United States,"Academic, Training and Research",populationcouncil
SN-NINEA-621108990A0,Institut Panos Afrique de l’Ouest (IPAO),active,21,Senegal,International NGO,ipao
NL-KVK-41159889,Prince Claus Fund,active,21,Netherlands,International NGO,pcf
US-EIN-11-3803281,Centre africain pour la transformation économique (ACET),active,23,United States,Regional NGO,acet
GB-COH-09288843,The Power of Nutrition,active,60,United Kingdom,Foundation,the_power_of_nutrition
DK-CVR-20699310,Danish Refugee Council (conseil danois pour les réfugiés),active,21,Denmark,International NGO,drc
GB-CHC-1051681,"Amnesty International, UK Section et Charitable Trust",active,21,United Kingdom,International NGO,aiuk
GB-EDU-133784,Université de Birmingham,active,80,United Kingdom,"Academic, Training and Research",universityofbirmingham
MZ-NUIT-600000381,Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),active,15,Mozambique,Other Public Sector,fipag
ZW-PVO-15/2003,CARE International au Zimbabwe,active,21,Zimbabwe,International NGO,ciz
US-EIN-521257057,World Resources Institute,active,21,United States,International NGO,wri
KE-RSO-14210,United Disabled Persons of Kenya,withdrawn,22,Kenya,National NGO,udpk
BE-BCE_KBO-0435563751,Memisa,active,80,Belgium,"Academic, Training and Research",memisa
ZW-PVO-26/79,Vision du Monde Zimbabwe,active,21,Zimbabwe,International NGO,wvz-gec
NL-KVK-34271281,World Waternet,active,60,Netherlands,Foundation,worldwaternet
NL-KVK-24316726,Ecorys Nederland B.V.,active,70,Netherlands,Private Sector,ecorysnl
XM-DAC-47136,Institut mondial de la croissance verte,active,40,(No country assigned),Multilateral,gggi
BE-BCE_KBO-0448755949,Collectif Stratégies Alimentaires,active,22,Belgium,National NGO,csa
NL-KVK-34370207,Université d’Amsterdam,active,80,Netherlands,"Academic, Training and Research",uva_org
NL-KVK-41201198,The Hunger Project Pays-Bas,active,21,Netherlands,International NGO,thp_org
BE-BCE_KBO-0451857573,"Vereniging van Vlaamse Steden en Gemeenten (Union des villes et communes flamandes, VVSG)",active,15,Belgium,Other Public Sector,vvsg
BE-BCE_KBO-0425410524,SOS FAIM,active,22,Belgium,National NGO,sosfaim
ET-CSA-0486,Wolayita Development Association,active,80,Ethiopia,"Academic, Training and Research",woda_0486
BE-BCE_KBO-0423616717,VVOB Education for Development,active,15,Belgium,Other Public Sector,vvob
BE-BCE_KBO-0423588904,Autre Terre asbl,active,80,Belgium,"Academic, Training and Research",a-t
BE-BCE_KBO-0449400604,Ngo-federatie (Vlaamse federatie van ngo’s voor ontwikkelingssamenwerking),active,22,Belgium,National NGO,ngo-federatie
CA-CRA_ACR-872374426,War Child Canada,active,21,Canada,International NGO,wcc
KE-NCB-218/051/93132/90,Federation of Women Lawyers Kenya,active,22,Kenya,National NGO,fida
IN-MCA-U74140WB1983PTC036093,PricewaterhouseCoopers Private Limited Inde,active,70,India,Private Sector,pwcplindia
ET-CSA-1063,Orbis Ethiopia,active,22,Ethiopia,National NGO,orbis_ethiopia
BE-BCE_KBO-0461076236,Centre tricontinental (CETRI),active,22,Belgium,National NGO,ct-admin
BE-BCE_KBO-0418015461,Entraide et Fraternité,active,22,Belgium,National NGO,ef_
GB-CHC-1076822,Save the Children International,active,21,United Kingdom,International NGO,sci
BE-BCE_KBO-0422717486,Louvain Coopération,active,22,Belgium,National NGO,lc
BE-BCE_KBO-0451516390,Brulocalis,active,15,Belgium,Other Public Sector,brulocalis
BE-BCE_KBO-0421207751,Centre National de Coopération au Développement (CNCD-11.11.11),active,22,Belgium,National NGO,cncd
BE-BCE_KBO-0418282311,Viva Salud,active,22,Belgium,National NGO,g3w-m3m_admin
BE-BCE_KBO-0416486821,Oxfam-Magasins du monde,active,22,Belgium,National NGO,omdm
BE-BCE_KBO-0451461655,Union des Villes et Communes de Wallonie (UVCW),active,15,Belgium,Other Public Sector,uvcw
XM-OCHA-CBPF,Fonds de financement commun pour les pays de l’OCHA,active,40,(No country assigned),Multilateral,unocha-cbpf
BE-BCE_KBO-0424198222,Association for Cultural Technical and Educational Cooperation (ACTEC),active,22,Belgium,National NGO,actec
BE-BCE_KBO-0408908151,Iles de Paix,active,22,Belgium,National NGO,idp
NP-SWC-1844,Center for Research on Environment Health and Population Activities (CREHPA),active,22,Nepal,National NGO,crehpa
US-EIN-237297651,Orbis International,active,21,United States,International NGO,orbis_international
BE-BCE_KBO-0474198059,Africalia,active,15,Belgium,Other Public Sector,africalia
BE-BCE_KBO-0419872616,Tearfund VZW (TFBE),active,22,Belgium,National NGO,tfb_admin1
BE-BCE_KBO-0413986102,We Social Movements (WSM),active,22,Belgium,National NGO,wsm
NG-CAC-692943,Academy for Health Development (AHEAD),active,80,Nigeria,"Academic, Training and Research",ahead
BE-BCE_KBO-0461634084,Rode Kruis-Vlaanderen Internationaal vzw (Croix-Rouge flamande),active,22,Belgium,National NGO,rkiv
BE-BCE_KBO-0410661673,SCI Projets Internationaux ASBL_Service Civil International branche belge,active,22,Belgium,National NGO,scibelgium
BE-BCE_KBO-0432552989,Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,active,22,Belgium,National NGO,fos
BE-BCE_KBO-0445412518,Institute for International Workers Education,active,22,Belgium,National NGO,iiwe
AF-MOE-138,Fondation Aga Khan Afghanistan,active,60,Afghanistan,Foundation,akf_afghanistan
BE-BCE_KBO-0415627875,ULB-Coopération,active,22,Belgium,National NGO,ulbcoop
DK-CVR-37295728,NIRAS A/S,active,70,Denmark,Private Sector,niras
NL-KVK-62066064,Global Off-Grid Lighting Association (GOGLA),active,70,Netherlands,Private Sector,gogla
US-EIN-06-1608361,Centre Africain de Recherche sur la Population et la Santé,active,21,United States,International NGO,aphrc
BE-BCE_KBO-0409451054,Enfance Tiers Monde Kinderen Derde Wereld,active,22,Belgium,National NGO,etmkdw
ZW-ROD-MA988/87,Women’s Action Group,active,22,Zimbabwe,National NGO,wag-1983
BE-BCE_KBO-0408628435,SOS Kinderdorpen België / SOS Villages d’enfants Belgique,active,21,Belgium,International NGO,svdbskb_admin
ET-CSA-1233,EngenderHealth Ethiopia,active,21,Ethiopia,International NGO,engenderhealth_eth
US-EIN-52-2145827,Chemonics International Inc.,active,70,United States,Private Sector,chemonics
BE-BCE_KBO-0441988715,Fairtrade Belgium,active,22,Belgium,National NGO,fairtrade_be
LB-MOI-497,ABAAD Resource Centre for Gender Equality (Centre de ressources ABAAD pour l’égalité des sexes),active,22,Lebanon,National NGO,arcfge
ZM-PCR-10104052014,,active,21,Zambia,International NGO,pphpz
BE-BCE_KBO-0462132150,Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,active,22,Belgium,National NGO,crb-ai_admin
BE-BCE_KBO-0431955945,Sensorial Handicap Cooperation,active,80,Belgium,"Academic, Training and Research",shc
BE-BCE_KBO-0415880570,Association pour la Promotion de l’Éducation et de la Formation à l’Étranger,active,15,Belgium,Other Public Sector,apefe
BE-BCE_KBO-0433439550,Défi Belgique Afrique,active,22,Belgium,National NGO,dba
BE-BCE_KBO-0463455904,Chaîne de l’Espoir Belgique / Keten van Hoop België,active,22,Belgium,National NGO,cdeb-kvhb_admin
BE-BCE_KBO-0432235661,Handicap international Belgique,active,22,Belgium,National NGO,hib
BE-BCE_KBO-0415426155,Miel Maya Honing asbl,active,22,Belgium,National NGO,mmha
NL-KVK-34185938,Fondation Access to Medicine,active,60,Netherlands,Foundation,atmf
BE-BCE_KBO-0442168263,Vétérinaires Sans Frontières / Dierenartsen Zonder Grenzen (Belgique),active,22,Belgium,National NGO,vsfbelgium
BE-BCE_KBO-0419189557,Rotary Clubs For Development,active,22,Belgium,National NGO,rc4d
BE-BCE_KBO-0454555163,RCN Justice & Démocratie,active,22,Belgium,National NGO,rcn
BE-BCE_KBO-0460162753,Medecins du Monde Belgique / Dokters van de Wereld Belgïe,active,22,Belgium,National NGO,medecins
BE-BCE_KBO-0413119733,VIA Don Bosco,active,22,Belgium,National NGO,via-db
BE-BCE_KBO-0408022778,Djapo,active,22,Belgium,National NGO,djapo
BE-BCE_KBO-0420656336,Rikolto Belgique,active,22,Belgium,National NGO,rikolto_belgium
BE-BCE_KBO-0407562029,Comité national de la Belgique pour l’UNICEF,active,22,Belgium,National NGO,ub
BE-BCE_KBO-0662878501,Rikolto,active,60,Belgium,Foundation,rikolto
BE-BCE_KBO-0418088113,Broederlijk Delen,active,22,Belgium,National NGO,bd
BE-BCE_KBO-0417299047,Protos,active,22,Belgium,National NGO,protos
BE-BCE_KBO-0479866027,Studio Globo,active,80,Belgium,"Academic, Training and Research",sg
BE-BCE_KBO-0478060441,Mouvement pour la Solidarité Internationale / Beweging voor Internationale Solidariteit,active,22,Belgium,National NGO,bismsi
BE-BCE_KBO-0479222461,BOS+ tropen,active,22,Belgium,National NGO,bos_plus_tropen
BE-BCE_KBO-0432622077,FIAN Belgium,active,22,Belgium,National NGO,fian-belgium
BE-BCE_KBO-0463729878,Benelux Afro Center,active,22,Belgium,National NGO,bac
BE-BCE_KBO-0432624255,Solsoc,active,22,Belgium,National NGO,solsoc
BE-BCE_KBO-0408095925,Auto-Développement Afrique (ADA),active,22,Belgium,National NGO,ada
CO-RUE-860013779-5,,active,70,Colombia,Private Sector,profamilia
BE-BCE_KBO-0416934803,Forum Universitaire pour la Coopération Internationale au Développement – FUCID ASBL,active,22,Belgium,National NGO,fucid
BE-BCE_KBO-0418399305,Commission Justice et Paix ASBL (cjp),active,22,Belgium,National NGO,cjp
BE-BCE_KBO-0408656248,Fonds mondial pour la nature Belgique (WWF-Belgique),active,22,Belgium,National NGO,wwf-be
BE-BCE_KBO-0472089102,Geomoun ASBL,active,22,Belgium,National NGO,geomoun
BE-BCE_KBO-0408256667,Congodorpen vzw,active,22,Belgium,National NGO,congodorpen
GB-COH-04644326,Agulhas Applied Knowledge,active,70,United Kingdom,Private Sector,aak
BE-BCE_KBO-0409597544,FONCABA ASBL KBA VZW,active,22,Belgium,National NGO,foncaba
BE-BCE_KBO-0432503697,Eclosio,active,22,Belgium,National NGO,eclosio
BE-BCE_KBO-0420790948,Universitair Centrum voor Ontwikkelingssamenwerking,active,22,Belgium,National NGO,ucos
XM-DAC-7-PPR-4000005312,,active,60,Indonesia,Foundation,ybawahid
CO-RUE-900.683.942-8,,active,30,Colombia,Public Private Partnership,rpm
BE-BCE_KBO-0421210424,Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,active,22,Belgium,National NGO,111111_publisher
BE-BCE_KBO-0415365777,Oxfam Wereldwinkels,active,22,Belgium,National NGO,oww
JO-MSD-2013011100066,Queen Rania Foundation for Education and Development (Fondation de la reine Rania pour l’éducation et le développement),active,22,Jordan,National NGO,qrfed
KE-NCB-218-051-93197-173,,active,23,Kenya,Regional NGO,fawe-rs
KE-NCB-218.051.93197.173,,withdrawn,23,Kenya,Regional NGO,fawe-rs
NL-KVK-09119363,Fondation PRACTICA,active,60,Netherlands,Foundation,practica
JO-COA-1701-HPC,,active,15,Jordan,Other Public Sector,hpc
US-EIN-22-3087809,IREX (International Research and Exchange Board),active,21,United States,International NGO,irex
XM-DAC-47066,Organisation internationale pour les migrations (OIM),active,40,Switzerland,Multilateral,iom
BE-BCE_KBO-0416867297,KIYO,active,21,Belgium,International NGO,kiyo
US-EIN-900634376,C40 Cities Climate Leadership Group,active,80,United States,"Academic, Training and Research",c40cities
GB-CHC-1135700,British & Irish Agencies Afghanistan Group,active,21,United Kingdom,International NGO,baag
BE-BCE_KBO-0546740696,Académie de recherche et d’enseignement supérieur,active,80,Belgium,"Academic, Training and Research",ares
BE-BCE_KBO-0474912493,Dynamo International asbl,active,22,Belgium,National NGO,dynamo_international
BE-BCE_KBO-0445741823,Quinoa,active,22,Belgium,National NGO,quinoa
BE-BCE_KBO-0443262185,Echos Communication,active,22,Belgium,National NGO,ec
BE-BCE_KBO-0448723978,Médecins Sans Vacances,active,22,Belgium,National NGO,msv
BE-BCE_KBO-0446340550,Comité pour l’abolition des dettes illégitimes,active,22,Belgium,National NGO,cadtm
BE-BCE_KBO-0415499795,ITECO – Centre de formation pour le développement,active,22,Belgium,National NGO,iteco
NL-KVK-40478591,Association royale de football des Pays-Bas,active,15,Netherlands,Other Public Sector,knvb
ES-CIF-G81164105,Action contre la Faim Espagne,active,21,Spain,International NGO,acfspain
BE-BCE_KBO-0406694670,Action Damien / Damiaanactie,active,22,Belgium,National NGO,damien-foundation
RW-RGB-101-RGB-NGO-2014,UWEZO Youth Empowerment,active,22,Rwanda,National NGO,uwezo_youth_empowerment
NL-KVK-41208024,Aidenvironment,active,60,Netherlands,Foundation,aidenvironment
BE-BCE_KBO-0425420917,Plan International Belgique,active,22,Belgium,National NGO,pib
NL-KVK-32102434,Fondation RUAF,active,60,Netherlands,Foundation,ruaf
US-EIN-030358029,Population Media Center,active,21,United States,International NGO,pmc
BE-BCE_KBO-0430826290,Le Monde selon les femmes asbl,active,22,Belgium,National NGO,mondefemmes
BE-BCE_KBO-0417549465,Coopération par l’Éducation et la Culture,active,22,Belgium,National NGO,cec
DK-CVR-25191501,Danmission,active,22,Denmark,National NGO,danmission
IN-MHA-337680017,Network For Enterprise Enhancement and Development Support,active,22,India,National NGO,needs
CO-RUE-860049972,Oriéntame,active,22,Colombia,National NGO,orientame
CH-FDJP-CHE102197003,Fédération internationale des experts comptables,active,21,Switzerland,International NGO,ifac
US-EIN-27-1414646,Initiative Clinton pour l’accès à la santé (Clinton Health Access Initiative),active,21,United States,International NGO,chai
US-EIN-13-3327220,Action contre la Faim États-Unis,active,21,United States,International NGO,aahusa
GB-COH-07157505,ODI Global Advisory Ltd,active,80,United Kingdom,"Academic, Training and Research",odi_sales_ltd
UG-NGB-5914-129,Fondation AVSI en Ouganda,active,21,Uganda,International NGO,avsi_uganda
GH-DSW-2046,Fonds Africain pour le Développement de la Femme,active,23,Ghana,Regional NGO,awdf
DE-CR-BonnVR8726,IFOAM – Organics International,active,21,Germany,International NGO,ifoam
GB-COH-05126149,The MENTOR Initiative,active,21,United Kingdom,International NGO,the_mentor_initiative
EG-CR-117508,,active,70,Egypt,Private Sector,nroot
BD-NAB-0271,Bangladesh Nari Progati Sangha,active,22,Bangladesh,National NGO,bnps
GB-CHC-1112842,Transparency International UK,active,21,United Kingdom,International NGO,ti-uk
GB-CHC-1119168,Energy 4 Impact,active,21,United Kingdom,International NGO,e4i
US-EIN-75-3130860,Center for Civilians in Conflict,active,21,United States,International NGO,civic_admin
GB-COH-RC000672,,active,80,United Kingdom,"Academic, Training and Research",uos
GB-CHC-1047653,Raleigh International,active,21,United Kingdom,International NGO,raleigh_int
BE-BCE_KBO-0410757386,Solidagro,active,80,Belgium,"Academic, Training and Research",solidagro_admin
NL-KVK-41199723,NLR,active,21,Netherlands,International NGO,nlr
TZ-TRA-101-091-759,Economic and Social Research Foundation (ESRF),active,80,"Tanzania, United Republic of","Academic, Training and Research",esrf
NL-KVK-24365461,Fondation Right to Play Pays-Bas,active,21,Netherlands,International NGO,rtp
NL-KVK-08134161,VEI (Vitens-Evides International),active,70,Netherlands,Private Sector,vei_nl
XM-DAC-21018,Fédération internationale des sociétés de la Croix-Rouge et du Croissant-Rouge,active,21,Switzerland,International NGO,ifrcrcs
UG-NGB-10890,Bucks Community NGO,active,22,Uganda,National NGO,bucksfarm
XM-DAC-43000,Fonds monétaire international,active,40,United States,Multilateral,imf
GB-CHC-314137,Association des Universités du Commonwealth,active,80,United Kingdom,"Academic, Training and Research",acu
NL-KVK-56185154,"NpM, plateforme pour la finance inclusive",active,22,Netherlands,National NGO,npm
GB-CHC-1113101,Tropical Health and Education Trust,active,21,United Kingdom,International NGO,tropicalhealth
US-EIN-52-0595110,Université Johns Hopkins,active,80,United States,"Academic, Training and Research",gi-jhu
NL-KVK-56821743,MDF Global,active,60,Netherlands,Foundation,mdf
CH-FDJP-CHE100871337,Conseil international des agences bénévoles,active,21,Switzerland,International NGO,icva
US-EIN-521750875,Iraq Foundation,active,21,United States,International NGO,iraq_foundation
ES-CIF-G-8236803,Oxfam Intermón,active,21,Spain,International NGO,oxfamintermon
XM-DAC-41123,Organisation des Nations Unies pour le développement industriel (ONUDI),active,40,(No country assigned),Multilateral,unido
GH-DSW-4711,Savana Signatures,active,22,Ghana,National NGO,savsign-org
GB-COH-00041424,,active,30,(No country assigned),Public Private Partnership,ul
BD-NAB-0682,Development Organisation of the Rural Poor,active,22,Bangladesh,National NGO,dorp-org
BE-BCE_KBO-0453072647,Institut de Formation Syndical International / Internationaal Syndicaal Vormingsinstituut,active,22,Belgium,National NGO,ifsi_isvi
MW-CNM-C057/1998,Center for Alternatives for Victimized Women and Children,active,22,Malawi,National NGO,cavwoc
NL-KVK-65306198,Equileap,active,21,Netherlands,International NGO,equileap
UG-NGB-1826,Family Life Education Program,active,22,Uganda,National NGO,flepuganda
GB-COH-RC000631,University College London,active,80,United Kingdom,"Academic, Training and Research",ucl
TZ-TRA-101-304-795,Chama cha Uzazi na Malezi Bora Tanzania (UMATI),active,22,"Tanzania, United Republic of",National NGO,umati
KE-NCB-218/051/96110/823,Centre for the Study of Adolescence,active,80,Kenya,"Academic, Training and Research",csa-kenya
US-GOV-17,,active,10,United States,Government,dol
GB-CHC-1114727,Joshua Orphan and Community Care,active,21,(No country assigned),International NGO,jocc_uk
BE-BCE_KBO-0460240749,Lumière pour le Monde Belgique,active,22,Belgium,National NGO,lftw-be
JO-CCD-2826,Vision du Monde Syrie,withdrawn,21,Syrian Arab Republic,International NGO,wvsyria
IN-MHA-231650063,Voluntary Health Association of India,active,80,(No country assigned),"Academic, Training and Research",vhai-org
DK-CVR-20074035,ADRA Danemark,active,22,Denmark,National NGO,adra-dk
KE-RCO-78260,ADS-Nyanza,active,15,Kenya,Other Public Sector,ads-nyanza
HK-CR-1494242,Solidaridad Asie du sud et du sud-est,active,21,India,International NGO,solidaridad-ssea
GH-DSW-5574,Solidaridad Afrique de l’Ouest,active,21,Ghana,International NGO,solidaridad-waf
XI-IATI-FIABEL,Fiabel,active,22,Belgium,National NGO,fiabel
KE-NCB-218/051/9384/74,CARE Somalie,active,22,Kenya,National NGO,csom1
GB-COH-07627789,D. Capital Partners,active,30,United Kingdom,Public Private Partnership,dcapitalpartners
JO-MSD-2009011100178,The Princess Alia Foundation (Fondation de la princesse Alia),active,60,Jordan,Foundation,paf_2018
GB-CHC-1157722,Irise International,active,21,United Kingdom,International NGO,irise_int
TZ-TRA-102316134,"Iringa Development of Youth, Disabled and Children Care",active,22,"Tanzania, United Republic of",National NGO,idydc
TZ-TRA-116315386,Babawatoto Centre For Children and Youth,active,22,"Tanzania, United Republic of",National NGO,bawacecy-tz
TZ-TRA-110-664-087,Railway Children Africa,active,22,"Tanzania, United Republic of",National NGO,rc2africa
US-GOV-6,,active,10,United States,Government,treasury
US-EIN-14-1945286,"The Global Development Incubator, Inc",active,21,United States,International NGO,gdi
TZ-TRA-121406209,Cheka Sana Tanzanie,active,22,"Tanzania, United Republic of",National NGO,cst
GB-COH-06735120,Worldwide Hospice Palliative Care Alliance,active,21,United Kingdom,International NGO,whpca
GB-COH-RC000797,Université de Manchester,active,80,United Kingdom,"Academic, Training and Research",uom
IT-CF-97091470589,INTERSOS Onlus,active,21,Italy,International NGO,intersos_main
GB-GOV-14,Royaume-Uni – Ministère de l’Éducation,active,10,United Kingdom,Government,dfe
US-EIN-27-1661997,GiveDirectly,active,21,United States,International NGO,givedirectly
